rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team
58,1,b,2,2,13,14,1,in,in,quick,hit,1,no,jump,kill,kill,b
59,1,a,10,9,3,11,18,out,out,oppo,hit,3,no,jump,hit_error,hit_error,b
60,1,a,4,4,13,14,16,in,in,quick,hit,2,yes,jump,tool,tool,a
61,1,b,4,4,14,14,8,in,in,quick,hit,2,no,jump,kill,kill,b
62,1,a,3,3,11,13,,in,in,quick,hit,2,no,jump,,,a
62,2,b,2,3,,,19,,,,,,,,hit_error,hit_error,a
63,1,b,2,2,12,11,3,in,in,oppo,hit,2,no,jump,,,b
63,2,a,3,3,,,8,,,,free_ball,0,no,,,,b
63,3,b,8,8,13,15,3,in,in,outside,hit,2,no,,,,b
63,4,a,3,3,14,14,,in,in,outside,hit,2,no,,net,net,b
64,1,a,8,7,9,15,2,out,out,outside,hit,2,yes,float,,,a
64,2,b,2,3,9,15,3,out,out,outside,hit,2,no,,,,a
64,3,a,3,3,8,11,7,out,out,oppo,hit,2,no,,,,a
64,4,b,7,7,1,14,4,out,out,outside,hit,3,yes,,,,a
64,5,a,4,4,14,15,,in,in,outside,blocked,2,yes,,,,a
64,7,a,15,15,10,7,7,out,out,oppo,off_speed,2,yes,,,,a
64,8,b,7,6,9,11,13,out,out,oppo,roll_shot,2,no,,,,a
64,9,a,13,7,9,15,,out,out,outside,blocked,2,yes,,,,a
64,11,a,13,13,9,15,3,out,out,outside,off_speed,2,yes,,kill,kill,a
65,1,b,4,4,,,26,,,,,,,jump,hit_error,hit_error,a
66,1,b,5,4,13,15,,in,in,outside,blocked,2,yes,jump,blocked,blocked,a
67,1,b,3,3,13,14,11,in,in,quick,roll_shot,2,no,jump,kill,kill,b
68,1,a,3,3,13,13,6,in,in,bic,hit,0,no,jump,,,b
68,2,b,6,7,25,25,8,out,out,outside,off_speed,3,no,,,,b
68,3,a,8,8,12,12,3,in,in,quick,hit,2,no,,,,b
68,4,b,3,3,13,,13,out,,,tip,0,no,,,,b
68,5,a,13,13,,,13,,,,overpass,0,no,,,,b
68,6,b,13,13,,13,12,,,quick,tip,1,no,,kill,kill,b
69,1,a,3,3,12,15,10,in,in,outside,hit,1,no,jump,kill,kill,a
70,1,b,9,3,13,15,8,in,in,outside,hit,1,no,float,kill,kill,b
71,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
72,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
73,1,a,7,8,6,15,3,out,out,outside,hit,3,yes,float,,,b
73,2,b,3,9,13,11,,in,in,oppo,hit,1,yes,,tool,tool,b
74,1,a,8,8,13,13,9,in,in,quick,hit,1,no,float,,,a
74,2,b,9,9,,11,,,,,tip,0,no,,net,net,a
75,1,b,4,3,12,11,8,in,in,oppo,hit,2,no,jump,,,a
75,2,a,8,8,23,15,6,out,out,outside,off_speed,3,no,,,,a
75,3,b,6,6,12,15,20,in,in,outside,off_speed,2,no,,hit_error,hit_error,a
76,1,b,4,4,13,15,9,in,in,outside,hit,2,no,jump,kill,kill,a
77,1,b,3,3,13,14,6,in,in,quick,hit,2,yes,jump,,,a
77,2,a,6,6,8,11,16,out,out,outside,blocked,3,yes,,blocked,blocked,a
78,1,b,3,3,11,12,7,in,in,bic,hit,2,no,jump,,,b
78,2,a,7,7,,,23,,,,,,,,hit_error,hit_error,b
79,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
80,1,b,3,4,17,13,5,out,out,outside,hit,3,no,jump,kill,kill,b
81,1,a,6,7,13,11,10,out,out,oppo,hit,2,no,float,,,a
81,2,b,10,10,,,16,,,,,,,,hit_error,hit_error,a
82,1,b,10,4,12,11,2,in,in,oppo,hit,2,yes,jump,,,a
82,2,a,2,7,16,15,12,out,out,outside,tip,2,no,,,,a
82,3,b,12,14,12,13,24,in,in,bic,hit,3,no,,hit_error,hit_error,a
83,1,b,3,3,13,15,10,in,in,oppo,hit,2,yes,jump,,,b
83,2,a,10,10,,,23,,,,,,,,hit_error,hit_error,b
84,1,a,7,3,12,13,11,in,in,quick,hit,2,yes,jump,tool,tool,a
85,1,b,9,9,13,15,13,in,in,outside,blocked,2,yes,float,,,b
85,2,b,13,13,9,6,8,out,out,oppo,hit,2,no,,,,b
85,3,a,8,7,13,13,13,in,in,bic,hit,2,no,,net,net,b
86,1,a,9,9,13,15,13,in,in,outside,hit,2,no,jump,kill,kill,a
87,1,b,2,2,13,15,24,in,in,outside,hit,2,no,jump,hit_error,hit_error,a
88,1,b,3,3,13,12,11,in,in,quick,blocked,2,yes,jump,,,b
88,2,b,11,11,8,6,7,out,out,oppo,hit,2,no,,,,b
88,3,a,7,2,10,15,11,out,out,outside,roll_shot,2,yes,,,,b
88,4,b,11,11,8,15,7,out,out,outside,off_speed,2,no,,kill,kill,b
89,1,a,8,8,13,15,3,in,in,outside,hit,2,no,float,kill,kill,a
90,1,b,3,3,13,14,6,in,in,quick,off_speed,2,no,jump,,,a
90,2,a,6,7,14,15,14,out,out,outside,hit,2,no,,,,a
90,3,b,14,14,13,13,13,out,out,,blocked,1,yes,,,,a
90,4,b,13,13,8,15,13,out,out,oppo,blocked,2,yes,,,,a
90,5,b,14,13,9,15,14,out,out,oppo,blocked,3,yes,,kill,kill,a
91,1,b,3,3,11,11,,out,out,oppo,roll_shot,2,no,jump,net,net,a
92,1,b,4,4,7,15,,out,out,outside,hit,2,no,jump,,,b
92,2,a,9,9,14,,25,,,,,,,,hit_error,hit_error,b
93,1,a,4,4,13,13,7,in,in,quick,hit,2,no,jump,kill,kill,a
94,1,b,3,3,13,14,5,in,in,bic,hit,2,no,jump,kill,kill,b
95,1,a,4,4,13,15,17,in,in,outside,hit,2,no,jump,hit_error,hit_error,b
96,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
97,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
98,1,a,7,7,13,15,2,in,in,outside,blocked,2,yes,float,kill,kill,b
99,1,b,2,2,,,2,,,,,,,jump,ace,ace,a
100,1,b,7,2,3,15,15,out,out,outside,blocked,3,yes,jump,kill,kill,a
101,1,b,3,3,7,11,9,out,out,oppo,blocked,2,yes,jump,kill,kill,a
102,1,b,4,4,12,15,6,in,in,outside,hit,1,no,jump,,,a
102,2,a,6,6,5,12,3,out,out,oppo,hit,3,no,,kill,kill,a
103,1,b,3,3,6,11,11,out,out,oppo,blocked,2,yes,jump,kill,kill,a
104,1,b,,,,,,,,,,,,,serve_error,serve_error,b
105,1,a,7,3,12,26,12,in,in,outside,tip,0,no,jump,,,b
105,2,b,12,6,9,15,17,out,out,outside,hit,2,yes,,tool,tool,b
106,1,a,3,3,12,13,10,in,in,quick,hit,1,no,jump,kill,kill,a
107,1,b,,,,,24,,,,,,,jump,serve_error,serve_error,b
108,1,a,7,7,12,13,25,in,in,quick,hit,2,yes,float,,,a
108,2,b,25,10,14,15,6,in,in,outside,blocked,2,yes,,kill,kill,a
109,1,b,8,3,13,14,16,in,in,quick,hit,2,yes,jump,tool,tool,b
110,1,a,3,3,13,11,9,in,in,oppo,hit,2,no,jump,,,a
110,,,9,10,,,20,,,,,,,,hit_error,hit_error,a
111,1,b,8,8,11,15,3,out,out,outside,hit,2,no,hybrid,kill,kill,b
112,1,a,3,3,8,11,,in,in,oppo,hit,2,no,jump,net,net,b
113,1,a,9,9,8,15,12,out,out,outside,off_speed,3,yes,jump,kill,kill,a
114,1,b,3,3,13,15,3,in,in,outside,hit,2,yes,jump,,,a
114,2,a,3,3,13,11,23,in,in,oppo,hit,2,yes,,tool,tool,a
115,1,b,3,2,13,13,3,in,in,bic,hit,3,no,jump,kill,kill,b
116,1,a,8,8,12,15,14,in,in,outside,hit,2,no,float,kill,kill,a
117,1,b,,,,,,,,,,,,jump,ace,ace,a
118,1,b,3,3,13,14,3,in,in,quick,hit,2,no,jump,,,a
118,2,a,3,3,10,11,6,out,out,oppo,off_speed,2,yes,,,,a
118,3,b,6,7,,,11,,,,,,,,hit_error,hit_error,a
119,1,b,3,3,13,13,24,in,in,quick,hit,2,yes,jump,tool,tool,b
120,1,a,4,5,18,10,,out,out,outside,off_speed,3,no,jump,net,net,b
121,1,a,4,3,13,11,13,out,out,oppo,hit,2,yes,jump,,,b
121,2,b,13,12,12,15,8,in,in,outside,off_speed,1,yes,,,,b
121,3,a,8,4,7,11,9,out,out,oppo,blocked,2,yes,,,,b
121,4,a,9,14,13,13,9,in,in,quick,hit,2,no,,,,b
121,5,b,9,9,7,11,3,out,out,oppo,hit,2,yes,,,,b
121,6,a,3,3,13,13,3,in,in,quick,hit,2,yes,,,,b
121,7,b,3,3,13,13,17,in,in,bic,hit,2,yes,,tool,tool,b
122,1,a,4,4,13,11,25,in,in,oppo,off_speed,2,yes,jump,tool,tool,a
123,1,b,2,3,12,15,22,in,in,outside,hit,2,yes,jump,tool,tool,b
124,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
125,1,b,3,3,13,15,1,in,in,outside,hit,2,no,jump,kill,kill,b
126,1,a,7,7,13,15,10,in,in,outside,hit,2,no,float,,,a
126,2,b,10,10,,,19,,,,,,,,hit_error,hit_error,a
127,1,b,4,4,13,13,9,in,in,quick,hit,1,no,jump,kill,kill,b
128,1,a,,,,,,,,,,,,jump,ace,ace,b
129,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
130,1,b,8,8,13,15,10,in,in,outside,blocked,2,yes,float,kill,kill,a
131,1,b,10,10,15,15,9,out,out,d-ball,hit,2,no,float,kill,kill,b
132,1,a,7,2,13,13,7,in,in,bic,hit,2,no,jump,,,a
132,2,b,7,7,17,8,6,out,out,bic,overpass,0,no,,,,a
132,3,a,6,6,13,,13,out,,,free_ball,1,no,,kill,kill,a
133,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
134,1,a,5,4,11,13,23,in,in,quick,hit,2,no,jump,,,a
135,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
136,1,b,3,3,12,11,26,in,in,oppo,off_speed,2,yes,jump,tool,tool,b
137,1,a,3,3,13,11,2,in,in,oppo,hit,2,no,jump,kill,kill,a
138,1,b,3,4,14,13,9,out,out,,blocked,2,no,jump,hit_error,hit_error,a
139,1,b,4,4,13,13,8,in,in,quick,off_speed,2,no,jump,,,a
139,2,a,8,7,3,11,9,out,out,oppo,roll_shot,2,yes,,,,a
139,3,b,9,9,13,13,8,in,in,bic,hit,3,yes,,,,a
139,4,a,8,3,13,11,5,in,in,oppo,hit,2,no,,kill,kill,a
140,1,b,3,3,14,15,10,in,in,outside,hit,2,yes,jump,,,a
140,2,a,10,14,13,15,24,in,in,outside,hit,2,yes,,tool,tool,a
141,1,b,3,3,14,15,4,in,in,outside,hit,2,no,jump,,,a
141,2,a,4,4,,,12,,,,free_ball,0,no,,,,a
141,3,b,12,12,8,15,9,out,out,outside,hit,3,no,,,,a
141,4,a,9,9,9,12,8,out,out,bic,roll_shot,3,no,,,,a
141,5,b,8,4,8,11,9,out,out,oppo,roll_shot,2,no,,,,a
141,6,a,9,10,12,14,8,in,in,quick,off_speed,2,no,,kill,kill,a
142,1,a,7,7,13,15,6,in,in,outside,hit,2,no,float,,,a
142,2,b,6,6,,,21,,,,,,,,hit_error,hit_error,a
143,1,b,4,4,13,13,6,in,in,quick,hit,1,no,jump,kill,kill,b
144,1,a,4,4,13,14,2,in,in,quick,hit,2,no,jump,kill,kill,a
145,1,b,4,4,13,15,18,in,in,outside,hit,1,no,jump,hit_error,hit_error,a
146,1,b,2,2,13,13,13,in,in,quick,blocked,1,yes,jump,,,a
146,2,b,13,13,10,15,13,out,out,outside,off_speed,3,yes,,,,a
146,3,a,13,9,,12,7,,,quick,hit,2,no,,kill,kill,a
147,1,b,3,3,13,14,6,in,in,quick,off_speed,2,no,jump,,,b
147,2,a,6,7,,,16,,,,,,,,hit_error,hit_error,b
148,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
149,1,b,,,,,,,,,,,,float,serve_error,serve_error,b
150,1,a,7,7,12,11,10,out,out,oppo,hit,2,no,float,,,a
150,2,b,10,10,,,8,,,,free_ball,,,,hit_error,hit_error,a
151,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
152,1,a,9,15,13,11,1,in,in,oppo,hit,2,no,jump,kill,kill,a
153,1,b,8,3,13,15,3,in,in,outside,off_speed,2,yes,jump,,,b
153,2,a,3,3,12,13,13,in,in,bic,blocked,3,yes,,,,b
153,3,a,13,13,8,11,8,out,out,oppo,blocked,3,yes,,,,b
153,4,a,8,7,12,15,16,in,in,outside,tip,2,no,,hit_error,hit_error,b
154,1,a,1,2,13,15,9,in,in,outside,hit,2,yes,jump,,,b
154,2,b,9,9,13,15,2,in,in,outside,hit,2,yes,,,,b
154,3,a,2,3,14,15,7,in,in,outside,off_speed,2,yes,,,,b
154,4,b,7,7,8,15,,out,out,outside,hit,3,yes,,net,net,b
155,1,a,6,2,12,11,10,out,out,oppo,tip,2,no,jump,,,a
155,2,b,10,9,,,22,,,,,,,,hit_error,hit_error,a
156,1,b,3,3,12,15,6,in,in,outside,hit,2,no,jump,kill,kill,b
157,1,a,8,8,13,13,10,in,in,quick,hit,1,yes,hybrid,,,a
157,2,b,10,10,,,26,,,,,,,,hit_error,hit_error,a
158,1,b,2,2,,,15,,,,free_ball,0,no,jump,,,a
158,2,a,15,,,15,9,,,outside,hit,1,no,,,,a
158,3,b,9,9,,13,12,,,quick,tip,1,yes,,,,a
158,4,a,12,12,13,13,10,out,out,quick,overpass,0,no,,,,a
158,5,b,10,9,13,15,25,in,in,outside,hit,2,no,,hit_error,hit_error,a
159,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
160,1,a,4,4,,13,12,,,quick,blocked,1,yes,jump,,,b
160,2,a,12,12,13,26,3,out,out,outside,off_speed,2,no,,,,b
160,3,b,3,3,13,11,17,in,in,oppo,hit,2,yes,,tool,tool,b
161,1,a,3,3,13,15,10,in,in,outside,hit,2,no,jump,kill,kill,a
162,1,b,4,3,13,15,3,out,out,outside,off_speed,2,no,jump,,,a
162,2,a,3,3,9,15,8,out,out,outside,blocked,2,yes,,,,a
162,3,a,8,8,13,13,9,in,in,quick,hit,2,no,,,,a
162,4,b,9,9,,,18,,,,,,,,hit_error,hit_error,a
163,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
164,1,a,2,2,12,13,8,in,in,quick,hit,1,yes,jump,,,b
164,2,b,8,8,12,12,8,in,in,quick,hit,2,no,,,,b
164,3,a,8,8,11,8,7,out,out,bic,overpass,0,no,,,,b
164,4,b,7,7,13,14,8,in,in,quick,hit,2,no,,kill,kill,b
165,1,a,4,3,,13,7,,,,tip,1,no,jump,,,b
165,2,b,7,7,13,15,3,out,out,outside,off_speed,2,no,,,,b
165,3,a,3,3,13,11,,in,in,oppo,hit,2,no,,net,net,b
166,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
167,1,b,9,8,12,12,8,in,in,quick,hit,1,no,float,kill,kill,b
168,1,a,7,7,13,13,9,in,in,quick,off_speed,2,no,float,,,a
168,2,b,9,9,,,13,,,,,,,,hit_error,hit_error,a
169,1,b,3,2,12,11,,in,in,oppo,off_speed,2,no,jump,net,net,a
170,1,b,2,2,12,13,25,in,in,bic,hit,3,yes,jump,tool,tool,b
171,1,a,4,4,13,13,7,in,in,bic,hit,2,no,jump,,,a
171,2,b,7,7,,,16,,,,,,,,hit_error,hit_error,a
172,1,b,2,2,13,13,3,in,in,bic,hit,2,no,jump,kill,kill,b
173,1,a,4,3,13,15,6,in,in,outside,off_speed,2,no,jump,,,a
173,2,b,6,6,13,,13,,,,free_ball,0,no,,,,a
173,3,a,13,14,13,11,20,in,in,oppo,hit,2,yes,,tool,tool,a
174,1,b,2,3,13,15,6,in,in,outside,hit,2,no,jump,,,b
174,2,a,6,6,,,8,,,,free_ball,0,no,,,,b
174,3,b,8,13,12,15,6,in,in,outside,roll_shot,2,no,,,,b
174,4,a,6,6,3,11,7,out,out,oppo,off_speed,2,yes,,,,b
174,5,b,7,7,3,15,8,out,out,outside,off_speed,3,no,,kill,kill,b
